CIRCONSCRIPTION,RÉGION,PLQ,PQ,CAQ,QS,VERTS,NPDQ,PCQ,CAP
Chambly,Montérégie,,Christian Picard,Jean-François Roberge,Francis Vigeant,,,,
Champlain,Mauricie,Pierre-Michel Auger,Gaëtan Leclerc,Sonia Lebel,Steven Roy Cullen,Stéphanie Dufresne,,Pierre-Benoît Fortin,
Chapleau,Outaouais,Marc Carrière,,Mathieu Lévesque,,,,,
Charlesbourg,Rég Québec,François Blais,Annie Morin,,Élisabeth Germain,,,Valérie Tremblay,
Charlevoix-Côte-de-Beaupré,Rég Québec,Caroline Simard,Nathalie Leclerc,,Jessica Crossan,,,,Albert Chiasson
Châteauguay,Montérégie,Pierre Moreau,,,Sandrine Garcia-McDiarmid,Nadia Baksh,,,
Chauveau,Rég Québec,Véronyque Tremblay,,Sylvain Lévesque,,Sabir Isufi ,,Adrien Pouliot,
Chicoutimi,Sagu-Lac-St-J,Marie-Josée Morency,Mireille Jean,,Pierre Dostie,,,,Mathieu Simard
Chomedey,Laval,Guy Ouellette,,Alice Khalil,Raqbah Moulla,Mme Fatine Kabbaj,,Nick Keramarios,
Chutes-de-la-Chaudière,Chaud-Appal,Ghyslain Vaillancourt,,Marc Picard,,,,Philippe Gaboury,Stéphane Blais
Côte-du-Sud,Bas-St-L,Simon La Boissonnière,,Marie-Ève Proulx,Guillaume Dufour,,,Marc Roussin,
D'Arcy-McGee,Montréal,David Birnbaum,,,Jean-Claude Kumuyange,Jérémie Alarco,,Yaniv Loran,
Deux-Montagnes,Laurentides,,Daniel Goyer,Benoît Charrette,,,,Della Fodor,Denis Paré
Drummond-Bois-Francs,Centre-du-Q,Kevin Deland,,Sébastien Schneeberger,,,,François Picard,
Dubuc,Sagu-Lac-St-J,Serge Simard,,François Tremblay,,,,François Pelletier,
Duplessis,Côte-Nord,,Lorraine Richard,,,,,Alexandre Leblanc,
Fabre,Laval,Monique Sauvé,Odette Lavigne,Adriana Dudas,,David Gilbert-Parisée,,,
Gaspé,Gasp-Iles Mad,Alexandre Boulay,Mégane Perry-Mélançon,,Alexis Dumont-Blanchet,,,,Laurent Fisette
Gatineau,Outaouais,Luce Farrell,,Robert Bussière,Milan Bernard,,,,
Gouin,Montréal,,Olivier Gignac,,Gabriel Nadeau-Dubois,Alice Sécheresse,,Samuel Racine,
Granby,Montérégie,Lyne Laverdure,Chantal Beauchemin,Franôis Bonnardel,Anne-Sophie Legault,Daphné Poulin,,Pierre Bélanger,
Groulx,Laurentides,Sabrina Chartrand,Jean-Philippe Meloche,Éric Girard,Fabien Torres,Robin Dick ,,Vincent Aubé,
Hochelaga-Maisonneuve,Montréal,Julien Provencher-Proulx,Carole Poirier,,Alexandre Leduc,,Éric-Abel Baland,Mathieu Beaudoin,
